YEAR,STATCD,DISTCD,STATNAME,DISTNAME,VILLAGES,TOTPOPULAT,P_URB_POP,P_RUR_POP
2017-2018,1,118,JAMMU & KASHMIR,RAMBAN,139,283313,4.16,95.84
2017-2018,1,115,JAMMU & KASHMIR,SHOPIAN,253,265960,5.62,94.38
2017-2018,1,117,JAMMU & KASHMIR,KISHTWAR,163,231037,6.42,93.58
2017-2018,2,202,HIMACHAL PRADESH,KANGRA,1785,1507223,5.73,94.27
2017-2018,2,205,HIMACHAL PRADESH,MANDI,1804,999518,6.27,93.73
2017-2018,2,208,HIMACHAL PRADESH,BILASPUR (H.P.),519,382056,6.58,93.42
2017-2018,3,307,PUNJAB,RUPNAGAR,529,683349,12.63,87.37
2017-2018,3,306,PUNJAB,NAWANSHAHR,448,614362,20.43,79.57
2017-2018,3,305,PUNJAB,HOSHIARPUR,1266,1582793,21.15,78.85
2017-2018,4,401,CHANDIGARH,CHANDIGARH,84,1054686,97.25,2.75
2017-2018,5,508,UTTARAKHAND,BAGESHWAR,584,259840,3.5,96.5
2017-2018,5,503,UTTARAKHAND,RUDRAPRAYAG,537,236857,4.19,95.81
2017-2018,5,501,UTTARAKHAND,UTTARKASHI,662,329686,7.35,92.65
2017-2018,6,620,HARYANA,MEWAT,450,1089406,11.38,88.62
2017-2018,6,616,HARYANA,MAHENDRAGARH,384,921680,14.43,85.57
2017-2018,6,610,HARYANA,FATEHABAD,284,941522,19.04,80.96
2017-2018,7,705,DELHI,NEW DELHI,29,133713,-25.35,125.35
2017-2018,7,706,DELHI,CENTRAL DELHI,68,578671,-10.48,110.48
2017-2018,7,702,DELHI,NORTH DELHI,80,883418,17.79,82.21
2017-2018,8,827,RAJASTHAN,DUNGARPUR,976,1388906,6.39,93.61
2017-2018,8,817,RAJASTHAN,BARMER,2317,2604453,7,93
2017-2018,8,828,RAJASTHAN,BANSWARA,1484,1798194,7.11,92.89
2017-2018,9,951,UTTAR PRADESH,SHRAWASTI,803,1114615,3.45,96.55
2017-2018,9,959,UTTAR PRADESH,KUSHINAGAR,1444,3560830,4.72,95.28
2017-2018,9,957,UTTAR PRADESH,MAHARAJGANJ,1057,2665292,5.06,94.94
2017-2018,10,1019,BIHAR,SAMASTIPUR,1138,4254782,3.46,96.54
2017-2018,10,1023,BIHAR,BANKA,1340,2029339,3.52,96.48
2017-2018,10,1005,BIHAR,MADHUBANI,1102,4476044,3.68,96.32
2017-2018,11,1102,SIKKIM,WEST SIKKIM,250,136299,3.84,96.16
2017-2018,11,1101,SIKKIM,NORTH SIKKIM,69,43354,10.72,89.28
2017-2018,11,1103,SIKKIM,SOUTH SIKKIM,230,146742,14.37,85.63
2017-2018,12,1216,ARUNACHAL PRADESH,Anjaw,90,21089,8.02,91.98
2017-2018,12,1215,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,86,53986,9.75,90.25
2017-2018,12,1202,ARUNACHAL PRADESH,WEST KAMENG,166,87013,10.34,89.66
2017-2018,13,1301,NAGALAND,MON,139,250671,13.85,86.15
2017-2018,13,1310,NAGALAND,KIPHIRE,95,50593,15.04,84.96
2017-2018,13,1308,NAGALAND,PHEK,109,163294,15.07,84.93
2017-2018,14,1401,MANIPUR,SENAPATI,531,354972,2.1,97.9
2017-2018,14,1403,MANIPUR,CHURACHANDPUR,405,271274,6.4,93.6
2017-2018,14,1402,MANIPUR,TAMENGLONG,249,140143,11.22,88.78
2017-2018,15,1501,MIZORAM,MAMIT,82,85757,17.27,82.73
2017-2018,15,1507,MIZORAM,LAWNGTLAI,169,117444,17.79,82.21
2017-2018,15,1504,MIZORAM,CHAMPHAI,109,125370,38.46,61.54
2017-2018,16,1603,TRIPURA,DHALAI,176,377988,10.71,89.29
2017-2018,16,1602,TRIPURA,SOUTH TRIPURA,174,875144,14.06,85.94
2017-2018,16,1604,TRIPURA,NORTH TRIPURA,103,693281,17.34,82.66
2017-2018,17,1707,MEGHALAYA,JAINTIA HILLS,296,392852,7.25,92.75
2017-2018,17,1703,MEGHALAYA,SOUTH GARO HILLS,640,142574,9.15,90.85
2017-2018,17,1705,MEGHALAYA,RI BHOI,586,258380,9.74,90.26
2017-2018,18,1824,ASSAM,BAKSA,665,953773,1.28,98.72
2017-2018,18,1826,ASSAM,UDALGURI,734,832769,4.51,95.49
2017-2018,18,1808,ASSAM,DARRANG,547,908090,6.1,93.9
2017-2018,19,1913,WEST BENGAL,BANKURA,2179,3596292,8.36,91.64
2017-2018,19,1903,WEST BENGAL,KOCH BIHAR,1634,2822780,10.25,89.75
2017-2018,19,1920,WEST BENGAL,PASCHIM MEDINIPUR,3430,5943300,11.65,88.35
2017-2018,20,2008,JHARKHAND,GODDA,1381,1311382,4.91,95.09
2017-2018,20,2001,JHARKHAND,GARHWA,794,1322387,5.27,94.73
2017-2018,20,2003,JHARKHAND,CHATRA,1169,1042304,6.03,93.97
2017-2018,21,2122,ODISHA,BOUDH,762,1506522,4.65,95.35
2017-2018,21,2125,ODISHA,NUAPADA,627,606490,5.61,94.39
2017-2018,21,2110,ODISHA,KENDRAPARA,1238,1439891,5.8,94.2
2017-2018,22,2203,CHHATTISGARH,JASHPUR,813,852043,8.92,91.08
2017-2018,22,2214,CHHATTISGARH,KANKER,1268,748593,10.25,89.75
2017-2018,22,2202,CHHATTISGARH,SURGUJA,630,2361329,10.38,89.62
2017-2018,23,2341,MADHYA PRADESH,DINDORI,851,704218,4.6,95.4
2017-2018,23,2349,MADHYA PRADESH,ALIRAJPUR,612,728677,7.8,92.2
2017-2018,23,2317,MADHYA PRADESH,SIDHI,941,1126515,8.3,91.7
2017-2018,24,2417,GUJARAT,PANCH MAHALS,578,2388267,8.99,91.01
2017-2018,24,2425,GUJARAT,VALSAD,486,1703068,9.79,90.21
2017-2018,24,2419,GUJARAT,VADODARA,890,4157568,10.44,89.56
2017-2018,25,2502,DAMAN & DIU,DAMAN,26,190855,46.62,53.38
2017-2018,25,2501,DAMAN & DIU,DIU,13,52056,83.1,16.9
2017-2018,26,2601,DADRA & NAGAR HAVELI,DADRA AND NAGAR HAVELI(UT),70,342853,46.62,53.38
2017-2018,27,2722,MAHARASHTRA,MUMBAI (SUBURBAN),47,9332481,0,100
2017-2018,27,2723,MAHARASHTRA,MUMBAI II,30,3145966,0,100
2017-2018,27,2712,MAHARASHTRA,GADCHIROLI,1539,1071795,11,89
2017-2018,28,2811,ANDHRA PRADESH,SRIKAKULAM,1521,2699471,16.16,83.84
2017-2018,28,2818,ANDHRA PRADESH,PRAKASAM,957,3392764,19.52,80.48
2017-2018,28,2815,ANDHRA PRADESH,WEST GODAVARI,871,3934782,20.55,79.45
2017-2018,29,2925,KARNATAKA,KODAGU,286,554762,14.62,85.38
2017-2018,29,2907,KARNATAKA,KOPPAL,676,1391292,16.79,83.21
2017-2018,29,2922,KARNATAKA,MANDYA,1355,1808680,17.08,82.92
2017-2018,30,3001,GOA,NORTH GOA,336,817761,60.24,39.76
2017-2018,30,3002,GOA,SOUTH GOA,194,639962,64.63,35.37
2017-2018,31,3101,LAKSHADWEEP,LAKSHADWEEP,10,64429,78.02,21.98
2017-2018,32,3203,KERALA,WAYANAD,50,816558,3.87,96.13
2017-2018,32,3209,KERALA,IDUKKI,69,1107453,4.7,95.3
2017-2018,32,3212,KERALA,PATHANAMTHITTA,64,1195537,11,89
2017-2018,33,3307,TAMIL NADU,VILUPPURAM,1395,3463284,14.72,85.28
2017-2018,33,3316,TAMIL NADU,PERAMBALUR,508,564511,17.14,82.86
2017-2018,33,3305,TAMIL NADU,DHARMAPURI,1012,1502900,17.33,82.67
2017-2018,34,3404,PUDUCHERRY,KARAIKAL,38,200314,49.01,50.99
2017-2018,34,3402,PUDUCHERRY,PONDICHERRY,95,946600,69.13,30.87
2017-2018,34,3401,PUDUCHERRY,YANAM,6,55616,100,0
2017-2018,35,3502,A & N ISLANDS,NICOBARS,42,36819,0,100
2017-2018,35,3503,A & N ISLANDS,MIDDLE AND NORTH ANDAMANS,76,105539,2.6,97.4
2017-2018,35,3501,A & N ISLANDS,ANDAMANS,80,237586,55.89,44.11
2017-2018,36,3607,TELANGANA,MAHBUBNAGAR,1458,4042191,15,85
2017-2018,36,3608,TELANGANA,NALGONDA,1117,3483648,19,81
2017-2018,36,3602,TELANGANA,NIZAMABAD,822,2552073,23.03,76.97
